name,1,2,3,4,5,6
string,continuous,continuous,continuous,continuous,continuous,continuous
meta,,,,,,
intercept,0.31953156566383834,-2.389720704700722,1.959269339556332,-0.39752457911094785,0.025905298934188872,0.4825390796572673
fibrosis_of_the_papillary_dermis=0,0.5162939645440902,0.9299069745814371,-0.2469093459111923,0.623968592100839,-2.0455890608425102,0.22232887552732872
fibrosis_of_the_papillary_dermis=1,-0.5163433103209208,-0.9300623863759286,0.24703759452379528,-0.6240587825964676,2.0455767340413775,-0.22214984927185502
thinning_of_the_suprapapillary_epidermis=0,-1.9011568533646062,0.5693506987453577,0.3006694650342105,0.640796261385274,0.24575504288721312,0.14458538531255283
thinning_of_the_suprapapillary_epidermis=1,1.9011075075877784,-0.5695061105398493,-0.30054121642160797,-0.6408864518809023,-0.24576736968834398,-0.14440635905707913
follicular_horn_plug=0,0.2525067500732787,0.8565722310388645,0.3645628603054613,0.374160312444255,0.16992112019975922,-2.017723274061621
follicular_horn_plug=1,-0.25255609585010935,-0.8567276428333559,-0.36443461169285785,-0.37425050293988205,-0.16993344700089016,2.0179023003170964
spongiosis=0,1.3462860619482575,-0.722219100115695,-0.04958508791796266,-0.9376683629931536,0.5522781466620608,-0.18909165758351223
spongiosis=1,-0.22915867633130155,-0.45758661947918494,-0.22941909228991625,0.5023731633368592,0.05836740911769082,0.35542381564585196
spongiosis=2,-0.6883509478969903,0.7024146547329686,0.04558911662038241,0.24255148110512292,-0.30526331113320065,0.00305900657171556
spongiosis=3,-0.42882578349679584,0.4772356530674198,0.23354331220009886,0.192653528055541,-0.30539457144768234,-0.16921213837858154
focal_hypergranulosis=0,0.4258632240692375,0.7954673951982028,-2.212233380826042,0.825267605281944,0.20545454859078938,-0.039819392314138606
focal_hypergranulosis=1,-0.42591256984606785,-0.7956228069926937,2.2123616294386426,-0.8253577957775724,-0.20546687539192043,0.039998418569612455
koebner_phenomenon=0,-0.07592410526761521,1.4551380104486127,-0.9280923675394773,-1.55856215808804,0.6969948228089708,0.4104457976375467
koebner_phenomenon=1,0.1477244242808101,-0.9017301540182636,-0.08896358865311703,1.1721234136353844,-0.14287225401613438,-0.18628184122868247
koebner_phenomenon=2,-0.06953522061552266,-0.26674634352390597,0.3262582854599713,0.6803520931923909,-0.508969082471547,-0.1613597320413864
koebner_phenomenon=3,-0.0023144441745030103,-0.2868169247009354,0.690925919345226,-0.29400353923536354,-0.04516581312242015,-0.06262519811200391
